group,year,gini,theil
1105,9,0.264359308,0.114054396
1105,10,0.29820592,0.147432716
1106,1,0,0
1106,2,0,0
1106,3,0,0
1106,4,0,0
1106,5,0,0
1106,6,0.296304222,0.133548762
1106,7,0.277596087,0.11383736
1106,8,0.26084121,0.102815462
1106,9,0.255384629,0.095434083
1106,10,0.285542746,0.11842245
1107,1,0,0
1107,2,0,0
1107,3,0,0
1107,4,0,0
1107,5,0,0
1107,6,0,0
1107,7,0,0
1107,8,0,0
1107,9,0,0
1107,10,0.235021407,0.045343275
1201,1,0.311537749,0.165205586
1201,2,0.330156404,0.168162109
1201,3,0.247203212,0.093549845
1201,4,0.316809053,0.154187919
1201,5,0.338262216,0.169899328
1201,6,0.302662675,0.143519457
1201,7,0.343972134,0.198059592
1201,8,0.313673927,0.16749551
1201,9,0.277219997,0.121475814
1201,10,0.301435464,0.149627013
1202,1,0.300785448,0.141406886
1202,2,0.29849719,0.139631337
1202,3,0.283307145,0.123125386
1202,4,0.315968328,0.158631705
1202,5,0.306540526,0.148300049
1202,6,0.327773503,0.171358076
1202,7,0.332869649,0.18661042
1202,8,0.309879327,0.150707959
1202,9,0.33854402,0.191056283
1202,10,0.316570695,0.160707306
1203,1,0.267241877,0.120909285
1203,2,0.247264993,0.097539914
1203,3,0.230130301,0.085694299
1203,4,0.267894078,0.112114695
1203,5,0.279692753,0.121218016
1203,6,0.315702439,0.16806216
1203,7,0.361234998,0.223100866
1203,8,0.385454948,0.248095311
1203,9,0.340863278,0.201156877
1203,10,0.31732975,0.16538815
1204,1,0.272825948,0.12178024
1204,2,0.277833449,0.124049477
1204,3,0.237140067,0.088408131
1204,4,0.285185551,0.130003824
1204,5,0.284389587,0.131309982
1204,6,0.331578379,0.180513116
1204,7,0.343602648,NaN
1204,8,0.33355799,0.180309974
1204,9,0.343385134,0.193918039
1204,10,0.33980294,0.19080502
1205,1,0.260779358,0.11422054
1205,2,0.229600807,0.083138424
1205,3,0.22553378,0.083188773
1205,4,0.267434851,0.111696882
1205,5,0.274883549,0.121177418
1205,6,0.334367131,0.20143704
1205,7,0.33559638,0.183873784
1205,8,0.34661766,0.202959431
1205,9,0.336368896,0.187194456
1205,10,0.325521297,0.176186252
1206,1,0.211355464,0.066409684
1206,2,0.244034078,0.092588671
1206,3,0.267703048,0.10584952
1206,4,0.254377336,0.092141914
1206,5,0.213058463,0.062063818
1206,6,0.342717783,0.186133493
1206,7,0.327925876,0.165513392
1206,8,0.324433272,0.156915527
1206,9,0.340903627,0.1724493
1206,10,0.334545073,0.195899336
1207,1,0,0
1207,2,0,0
1207,3,0,0
1207,4,0,0
1207,5,0,0
1207,6,0,0
1207,7,0.672662674,0.247443586
1207,8,0.844831546,0.420317981
1207,9,0.56419062,0.271351169
1207,10,0,0
1301,1,0,0
1301,2,0,0
1301,3,0,0
1301,4,0,0
1301,5,0,0
1301,6,0.293572937,0.130969029
1301,7,0.211173337,0.072598542
1301,8,0.23422621,0.091137974
1301,9,0.318935215,0.174776509
1301,10,0.30136028,0.1362572
1302,1,0,0
1302,2,0,0
1302,3,0,0
1302,4,0,0
1302,5,0,0
1302,6,0.30648366,0.151292113
1302,7,0.218920299,0.08329539
1302,8,0.257199429,0.103857308
1302,9,0.251264692,0.096269774
1302,10,0.253172042,0.103653601
1303,1,0,0
1303,2,0,0
1303,3,0,0
1303,4,0,0
1303,5,0,0
1303,6,0.26880193,0.10618433
1303,7,0.217621367,0.072064217
1303,8,0.211344711,0.063820722
1303,9,0.286768237,0.119975264
1303,10,0.280440409,0.116517618
1304,1,0,0
1304,2,0,0
1304,3,0,0
